Time,Time Code,Country Name,Country Code,"Access to clean fuels and technologies for cooking, rural (% of rural population) [EG.CFT.ACCS.RU.ZS]","Access to clean fuels and technologies for cooking, urban (% of urban population) [EG.CFT.ACCS.UR.ZS]","Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]","People using safely managed drinking water services, rural (% of rural population) [SH.H2O.SMDW.RU.ZS]","People using safely managed sanitation services, rural (% of rural population) [SH.STA.SMSS.RU.ZS]",Rural population (% of total population) [SP.RUR.TOTL.ZS],Rural population [SP.RUR.TOTL],Rural population growth (annual %) [SP.RUR.TOTL.ZG],"People using safely managed drinking water services, urban (% of urban population) [SH.H2O.SMDW.UR.ZS]","People using safely managed sanitation services, urban (% of urban population) [SH.STA.SMSS.UR.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Urban population growth (annual %) [SP.URB.GROW],Urban population [SP.URB.TOTL],"Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]"
2018,YR2018,Brazil,BRA,79.4,99,98.4109076033192,99.9,68.14836549,..,13.431,28227475,-1.12355295989964,86.79982052,48.92181056,86.569,1.09455847667219,181939117,93.2275009155273,99.2041702270508,6.08851003646851,16.1483592987061
2018,YR2018,British Virgin Islands,VGB,..,..,100,100,..,..,52.277,15858,0.17672309572863,..,..,47.723,1.72087710701456,14477,..,..,2.4343900680542,13.9963903427124
2018,YR2018,Brunei Darussalam,BRN,100,100,100,100,..,..,22.371,97151,-0.482616507777846,..,..,77.629,1.33419320365826,337123,97.214111328125,99.7089385986328,..,..
2018,YR2018,Bulgaria,BGR,..,..,97.3943632463823,99.1345443725586,..,57.48762658,24.992,1755697,-2.06940381379375,..,72.30366177,75.008,-0.269102082353336,5269340,..,..,4.04530000686646,11.7900295257568
2018,YR2018,Burkina Faso,BFA,1,32.7,..,62.3,..,..,70.642,14405827,1.90186173662691,..,..,29.358,4.88576388054275,5986896,39.3458518981934,58.8739814758301,5.488609790802,22.661169052124
2018,YR2018,Burundi,BDI,0.2,0.2,1.97714432825881,59.774486541748,..,..,86.968,9995643,2.609680187879,..,..,13.032,5.51713536918776,1497829,..,..,5.07864999771118,19.5192604064941
2018,YR2018,Cabo Verde,CPV,46.4,93.8,84.6087935189956,93.1101989746094,..,..,34.268,195740,-0.264796748592399,..,..,65.732,1.81875236938451,375462,..,..,5.36885023117065,17.5685405731201
2018,YR2018,Cambodia,KHM,19,67.8,75.0015691174528,99.369873046875,17.6034678,..,76.612,12277255,0.690299598692321,56.05684775,..,23.388,2.98134355992261,3747983,..,..,2.57805943489075,16.863468170166
2018,YR2018,Cameroon,CMR,2.5,39.9,26.2765344038043,90,..,..,43.626,10939982,1.40457360791486,..,..,56.374,3.82837807549289,14136765,77.0710372924805,85.0800018310547,3.03096008300781,16.8831596374512
2018,YR2018,Canada,CAN,100,100,100,100,..,83.69421783,18.589,6890028,1.08482817668831,..,84.03748473,81.411,1.48741557899505,30175056,..,..,4.8889799118042,12.0848703384399
2018,YR2018,Cayman Islands,CYM,..,..,100,100,..,..,0,0,..,..,..,100,2.02863766124784,64884,..,..,2.16680669784546,14.9241704940796
2018,YR2018,Central African Republic,CAF,0,1.4,2.22542254341273,32.2479820251465,2.39430094,6.340698621,58.636,2987375,1.2902835339873,12.0425604,25.56030585,41.364,2.87577015547576,2107405,37.3958206176758,38.2686500549316,1.56587994098663,9.13549995422363
2018,YR2018,Chad,TCD,0.2,24.6,2.27693522301297,36.024585723877,2.107983203,3.605091959,76.941,12006035,3.11722431988997,17.1377048,30.38862583,23.059,4.25364266040628,3598175,..,..,2.25947999954224,..
2018,YR2018,Channel Islands,CHI,..,..,100,100,..,..,69.086,115553,1.23035340614728,..,..,30.914,1.22786882355422,51706,..,..,..,..
2018,YR2018,Chile,CHL,100,100,100,100,..,..,12.436,2325712,1.20266497270093,98.76592481,78.15307347,87.564,1.8805102183162,16375738,..,..,5.43316984176636,21.3660697937012
2018,YR2018,China,CHN,60.4,89.3,100,100,..,38.54995517,40.848,572999405,-2.40869646259622,95.23318067,81.39117991,59.152,2.50340050353808,829760595,96.8408889770508,99.7835998535156,3.54249000549316,10.758620262146
2018,YR2018,Colombia,COL,60,98.9,92.6166784645762,99.9,39.55538535,..,19.222,9472017,0.183138128642393,80.82128693,16.36045507,80.778,2.30743844872299,39804944,95.0925064086914,98.8516464233398,4.44910001754761,12.8371896743774
2018,YR2018,Comoros,COM,3.09999999999999,19.5,75.0577782847359,95.6410522460938,..,..,71.035,551454,1.65049121816569,..,..,28.965,2.53202026502058,224859,58.8170204162598,78.270393371582,..,..
2018,YR2018,"Congo, Dem. Rep.",COD,0.4,9.8,1,40.7747613282317,0.939049069,12.37448723,55.54,48368317,2.23394956035351,39.04251325,15.17402177,44.46,4.58595498235969,38719038,..,..,..,..
2018,YR2018,"Congo, Rep.",COG,3.59999999999999,43.6,11.7793486781286,64.4694900512695,19.0581384,..,33.084,1800121,1.02230608207014,58.62640375,..,66.916,3.07947298917461,3640941,80.2987594604492,82.0547866821289,2.99548006057739,15.582799911499
2018,YR2018,Costa Rica,CRI,86.1,98.1,98.9319461195142,99.9,81.05455,36.3651252,20.66,1041416,-2.77126350771839,80.38785,28.95606496,79.34,1.92258852809582,3999318,97.8637924194336,99.4300003051758,6.76991987228394,26.086669921875
2018,YR2018,Cote d'Ivoire,CIV,1.2,53.1,40.3741541966745,93.1016693115234,14.82093273,..,49.221,12548396,1.65035048301119,54.71050844,..,50.779,3.46257401874543,12945592,..,..,3.23993992805481,18.2889003753662
2018,YR2018,Croatia,HRV,100,100,100,100,..,..,43.053,1759939,-1.54174402567093,93.5,78.96004931,56.947,-0.400587697691305,2327904,..,..,3.90755009651184,8.60007953643799
2018,YR2018,Cuba,CUB,87.4,96.5,98.3130478215135,100,..,51.70028901,22.963,2601305,-0.332969943151311,..,32.44711141,77.037,0.00590144146030912,8726939,..,..,8.02498743723845E-06,12.6599740982056
2018,YR2018,Curacao,CUW,..,..,100,100,..,..,10.855,17296,0.0115640358613922,..,..,89.145,-0.590340790898889,142040,..,..,6.57879114151001,..
2018,YR2018,Cyprus,CYP,100,100,100,100,..,..,33.19,404530,0.927582474205914,..,86.31933054,66.81,0.810470833706406,814301,..,..,5.15285396575928,11.8047428131104
2018,YR2018,Czechia,CZE,100,100,100,100,97.66103129,..,26.208,2785892,-0.110997956104683,97.96002403,..,73.792,0.493103393300873,7844036,..,..,4.26692008972168,10.5089197158813
2018,YR2018,Denmark,DNK,100,100,100,100,..,..,12.126,702536,-0.46451835692407,..,..,87.874,0.629088602704045,5091100,..,..,6.79277992248535,13.4381999969482
2018,YR2018,Djibouti,DJI,0.3,11,33.5694068388041,70.6483917236328,..,20.25113641,22.223,234941,1.03882813497949,..,40.81239585,77.777,1.78375344482116,822257,..,..,3.62773990631104,13.991530418396
2018,YR2018,Dominica,DMA,78.9,97.2,..,..,..,..,29.517,20905,-0.420068401365701,..,..,70.483,1.02288262983619,49918,..,..,5.57154989242554,8.44583988189697
2018,YR2018,Dominican Republic,DOM,73.2,95.4,95.9013836182273,99.6,..,..,18.926,2037484,-3.02006787876093,..,..,81.074,2.09275938343117,8728047,..,..,3.92848992347717,22.1554698944092
2018,YR2018,Ecuador,ECU,85.6,99.1,96.9359656275889,99.7,51.82840725,58.3486154,36.179,6156100,1.47440508927958,74.65207,32.34647558,63.821,2.12779093687571,10859572,..,..,4.6214599609375,14.5461587905884
2018,YR2018,"Egypt, Arab Rep.",EGY,99.9,99.9,100,100,..,60.72091805,57.296,59439309,1.90067608692036,..,71.79532887,42.704,1.89658912000937,44301456,..,..,..,..
2018,YR2018,El Salvador,SLV,74.7,96.4,92.6235793869011,98.7,..,..,27.977,1755932,-2.484022672374,78.32505218,17.29595297,72.023,1.19846080604153,4520410,89.0085983276367,97.9737167358398,3.60575008392334,13.2259197235107
2018,YR2018,Equatorial Guinea,GNQ,4.4,32.4,2.90693417928343,91.0035247802734,..,..,27.857,418437,1.71305289265212,..,..,72.143,4.17296762483505,1083654,..,..,..,..
2018,YR2018,Eritrea,ERI,0.900000000000001,23.9,30.9962748173966,76.2842330932617,..,..,59.92,2064468,0.371681341352766,..,..,40.08,2.99776584971854,1380906,76.5705184936523,93.2723922729492,..,..
2018,YR2018,Estonia,EST,100,100,100,100,..,..,31.12,411399,-0.174374312565055,..,..,68.88,0.58496349021078,910578,..,..,5.2632098197937,13.3533697128296
2018,YR2018,Eswatini,SWZ,38.2,88.6,69.6734027304963,87.6897659301758,..,..,76.201,884258,0.553858456309779,88.32727609,..,23.799,1.51557300363278,276170,88.4193801879883,95.469367980957,5.67916011810303,17.2199993133545
2018,YR2018,Ethiopia,ETH,0.4,22.3,32.5398188529667,91.8015213012695,4.365163353,3.853519633,79.237,88055633,2.10324707684337,38.63961738,15.53552142,20.763,4.87923658026659,23073805,..,..,5.06867980957031,24.0015506744385
2018,YR2018,Faroe Islands,FRO,..,..,100,100,..,..,57.936,29521,1.17211468318885,..,..,42.064,1.7935378502387,21434,..,..,8.78139972686768,17.3627490997314
2018,YR2018,Fiji,FJI,22.6,64,92.7020074405192,96.895263671875,..,..,43.752,402079,-1.15231153699237,..,..,56.248,0.901096947630469,516917,..,..,4.83571004867554,14.9348096847534
2018,YR2018,Finland,FIN,100,100,100,100,..,..,14.618,806259,-0.256536014525473,..,..,85.382,0.199422968266274,4709266,..,..,6.27542018890381,11.7464399337769
2018,YR2018,France,FRA,100,100,100,100,..,..,19.556,13133487,-0.982443582549737,99.64342342,..,80.444,0.687212829279783,54024861,..,..,5.40716981887817,9.71734046936035
2018,YR2018,French Polynesia,PYF,..,..,100,100,..,..,38.166,113584,0.596046675527976,..,..,61.834,0.808051035395813,184022,..,..,..,..
2018,YR2018,Gabon,GAB,45.5,94,21.2513672244599,97.7012329101563,..,..,10.63,233011,-1.24791574840418,..,..,89.37,2.83317153124508,1959001,84.6671600341797,89.7836608886719,2.93345999717712,14.6950798034668
2018,YR2018,"Gambia, The",GMB,0.3,2.7,..,76.4,7.25855479,27.6323142,38.73,946916,0.923658354461612,65.27002823,31.82973105,61.27,3.74260095109584,1498000,..,..,2.36543989181519,11.3599195480347
2018,YR2018,Georgia,GEO,71.9,96.6,100,99.8,40.13218163,45.70860338,41.368,1541599,-1.00370378841174,84.06720463,27.47770059,58.632,0.647230647092237,2184950,..,..,3.5210599899292,12.9514999389648
2018,YR2018,Germany,DEU,100,100,100,100,..,91.62605131,22.688,18809664,0.0759898177879571,..,98.72630227,77.312,0.366515155973305,64096118,..,..,4.97576999664307,11.2255802154541
2018,YR2018,Ghana,GHA,9.1,41.1,68.2796091063772,89.9,13.94515874,13.4278289,43.94,13564560,0.647501577464945,56.87040133,11.60038498,56.06,3.2943366385149,17306081,79.0396423339844,92.490966796875,3.8861300945282,18.5981693267822
2018,YR2018,Gibraltar,GIB,..,..,100,100,..,..,0,0,..,100,..,100,0.140996191940655,32648,..,..,..,8.33333301544189
2018,YR2018,Greece,GRC,100,100,100,100,..,..,20.942,2247680,-1.78520501888517,..,95.99329054,79.058,0.220496953517559,8485202,97.9359512329102,99.1600036621094,3.59734010696411,7.41740989685059
2018,YR2018,Greenland,GRL,..,..,100,100,..,..,13.184,7386,-2.09010824057939,..,..,86.816,0.0143933708494783,48637,..,..,10.5601902008057,17.5557994842529
2018,YR2018,Grenada,GRD,88.9,94.6,..,..,..,..,63.728,77645,0.586428609731554,..,..,36.272,1.05320400760817,44193,..,..,3.55255007743835,10.0805730819702
2018,YR2018,Guam,GUM,..,..,100,100,..,..,5.22,8805,-1.49921085630902,..,..,94.78,0.128309060887132,159873,..,..,..,..
2018,YR2018,Guatemala,GTM,11.8,70.4,91.2395334474422,97.0578002929688,44.92155826,..,48.946,8001178,0.839175698960119,65.25310133,..,51.054,2.33564723328312,8345772,80.810676574707,94.6041488647461,3.13704991340637,23.7495403289795
2018,YR2018,Guinea,GIN,0.2,2,21.4009070118301,86.7,..,..,63.86,8017536,1.9915403962715,..,..,36.14,3.49823094207876,4537328,39.6176795959473,53.9405212402344,2.38432002067566,14.8701200485229
2018,YR2018,Guinea-Bissau,GNB,0.1,2.2,13.2991235586162,48.0871467590332,10.42996297,3.807043241,56.64,1090295,1.64232965057025,40.92730206,20.68944693,43.36,3.33402582327247,834660,..,..,2.13787007331848,8.09971618652344
2018,YR2018,Guyana,GUY,76.4,83.5,88.9240987914412,96.3044281005859,..,..,73.394,576520,2.78240280852752,..,..,26.606,3.13088997136433,208994,..,..,4.45058012008667,16.0032196044922
2018,YR2018,Haiti,HTI,1.2,6.6,1.82404618274287,78.9111251831055,..,..,44.722,4924975,-0.701436224352947,..,..,55.278,3.06152988679146,6087446,..,..,1.63206994533539,14.6441402435303
2018,YR2018,Honduras,HND,21,72.8,81.8852679646719,98.9,18.42840236,67.99919223,42.904,4201524,0.231326368980924,..,34.62791357,57.096,2.83521639692771,5591326,87.2052383422852,96.5158386230469,6.05646991729736,23.1551094055176
2018,YR2018,"Hong Kong SAR, China",HKG,..,..,100,100,..,..,0,0,..,100,85.9438545,100,0.800230596967774,7452600,..,..,3.32651996612549,18.7878398895264
2018,YR2018,Hungary,HUN,100,100,100,100,89,80.68586975,28.649,2800601,-1.1305200093789,93.98806333,90.54745113,71.351,0.279085901553299,6974963,..,..,4.62282991409302,10.0842895507813
